Dates,Open,High,Low,Close,Bid,Ask
3/08/1998,2.929,2.9355,2.911,2.911,2.934,2.936
4/08/1998,2.936,2.939,2.936,2.939,2.938,2.94
5/08/1998,2.94,2.946,2.922,2.946,2.945,2.947
6/08/1998,2.947,2.9515,2.92,2.92,2.95,2.953
7/08/1998,2.953,2.962,2.933,2.9495,2.948,2.951
10/08/1998,2.951,2.952,2.949,2.949,2.948,2.95
11/08/1998,2.95,2.9625,2.95,2.962,2.961,2.963
12/08/1998,2.964,2.966,2.958,2.958,2.957,2.96
13/08/1998,2.959,2.959,2.941,2.956,2.955,2.957
14/08/1998,2.957,2.957,2.945,2.945,2.944,2.946
17/08/1998,2.946,2.949,2.933,2.933,2.948,2.95
18/08/1998,2.932,2.95,2.932,2.944,2.943,2.945
19/08/1998,2.945,2.945,2.9395,2.944,2.943,2.945
20/08/1998,2.948,2.96,2.948,2.96,2.958,2.962
21/08/1998,2.9585,2.9715,2.9585,2.9715,2.971,2.973
24/08/1998,2.971,2.971,2.953,2.953,2.966,2.969
25/08/1998,2.952,2.969,2.952,2.963,2.963,2.964
26/08/1998,2.963,2.9805,2.963,2.9805,2.979,2.982
27/08/1998,2.982,3.011,2.982,3.0065,3.005,3.008
28/08/1998,3.008,3.017,3.008,3.014,3.013,3.015
31/08/1998,3.015,3.0465,3.015,3.0465,3.045,3.048
1/09/1998,3.0575,3.0575,3.041,3.0425,3.04,3.045
2/09/1998,3.045,3.045,3.029,3.04,3.035,3.045
3/09/1998,3.045,3.0595,3.045,3.047,3.042,3.052
4/09/1998,3.055,3.055,3.0465,3.0475,3.046,3.049
7/09/1998,3.048,3.066,3.0475,3.064,3.062,3.066
8/09/1998,3.0595,3.064,3.056,3.0585,3.057,3.06
9/09/1998,3.051,3.051,3.0445,3.0485,3.047,3.05
10/09/1998,3.06,3.074,3.0595,3.071,3.069,3.073
11/09/1998,3.067,3.0715,3.067,3.069,3.067,3.071
14/09/1998,3.0665,3.0665,3.036,3.036,3.034,3.038
15/09/1998,3.0305,3.0305,3.026,3.0285,3.027,3.03
16/09/1998,3.0285,3.036,3.025,3.036,3.034,3.038
17/09/1998,3.0425,3.055,3.0325,3.0325,3.031,3.034
18/09/1998,3.026,3.026,3.014,3.0215,3.02,3.023
21/09/1998,3.02,3.03,3.02,3.0255,3.024,3.027
22/09/1998,3.024,3.024,3.0185,3.0185,3.017,3.02
23/09/1998,3.025,3.031,3.022,3.0275,3.026,3.029
24/09/1998,3.029,3.034,3.0285,3.031,3.029,3.033
25/09/1998,3.032,3.0375,3.032,3.0375,3.036,3.039
28/09/1998,3.0435,3.0435,3.0435,3.0435,3.042,3.045
29/09/1998,3.04,3.0485,3.04,3.0485,3.048,3.05
30/09/1998,3.04,3.0555,3.04,3.052,3.051,3.053
1/10/1998,3.056,3.062,3.0515,3.0515,3.05,3.053
2/10/1998,3.053,3.053,3.0335,3.038,3.036,3.04
5/10/1998,3.062,3.062,3.0345,3.0345,3.033,3.036
6/10/1998,3.038,3.038,3.03,3.0305,3.029,3.032
7/10/1998,3.0345,3.043,3.0345,3.043,3.042,3.044
9/10/1998,3.049,3.0595,3.0455,3.0595,3.058,3.061
12/10/1998,3.062,3.062,3.0555,3.0575,3.057,3.059
13/10/1998,3.0575,3.0575,3.03,3.054,3.052,3.055
14/10/1998,3.035,3.052,3.035,3.0485,3.047,3.05
15/10/1998,3.046,3.046,3.0365,3.0405,3.039,3.042
16/10/1998,3.042,3.049,3.0385,3.049,3.047,3.051
19/10/1998,3.04,3.049,3.04,3.049,3.047,3.051
20/10/1998,3.051,3.051,3.038,3.041,3.04,3.042
21/10/1998,3.042,3.0475,3.041,3.0465,3.045,3.048
22/10/1998,3.048,3.048,3.04,3.048,3.047,3.049
23/10/1998,3.046,3.0505,3.046,3.048,3.047,3.049
27/10/1998,3.042,3.0565,3.042,3.0555,3.055,3.057
28/10/1998,3.059,3.071,3.059,3.0695,3.068,3.071
29/10/1998,3.0725,3.0785,3.0725,3.0765,3.075,3.078
30/10/1998,3.069,3.069,3.066,3.069,3.069,3.07
2/11/1998,3.0675,3.0855,3.0675,3.0855,3.084,3.087
3/11/1998,3.082,3.085,3.068,3.0805,3.079,3.082
4/11/1998,3.07,3.08,3.07,3.08,3.079,3.081
5/11/1998,3.085,3.085,3.0795,3.0795,3.078,3.081
6/11/1998,3.083,3.083,3.078,3.079,3.077,3.08
9/11/1998,3.08,3.0905,3.08,3.0905,3.089,3.092
10/11/1998,3.085,3.096,3.085,3.0895,3.089,3.091
11/11/1998,3.094,3.094,3.088,3.0885,3.087,3.09
12/11/1998,3.09,3.094,3.0885,3.094,3.093,3.095
13/11/1998,3.093,3.094,3.0905,3.093,3.092,3.094
16/11/1998,3.092,3.0945,3.09,3.09,3.089,3.091
17/11/1998,3.094,3.094,3.086,3.086,3.085,3.087
18/11/1998,3.091,3.091,3.084,3.089,3.088,3.09
19/11/1998,3.089,3.093,3.089,3.0925,3.091,3.094
20/11/1998,3.094,3.094,3.09,3.091,3.09,3.092
23/11/1998,3.094,3.095,3.086,3.095,3.094,3.096
24/11/1998,3.096,3.1065,3.096,3.099,3.097,3.101
25/11/1998,3.101,3.112,3.101,3.11,3.109,3.111
26/11/1998,3.112,3.1215,3.112,3.1185,3.117,3.12
27/11/1998,3.118,3.122,3.1175,3.1175,3.116,3.119
30/11/1998,3.119,3.128,3.119,3.126,3.124,3.128
1/12/1998,3.129,3.1315,3.127,3.129,3.128,3.13
2/12/1998,3.13,3.147,3.13,3.147,3.144,3.147
3/12/1998,3.147,3.154,3.1425,3.145,3.143,3.147
4/12/1998,3.147,3.148,3.147,3.148,3.146,3.15
7/12/1998,3.1305,3.138,3.1245,3.1255,3.124,3.127
9/12/1998,3.13,3.1325,3.1235,3.1325,3.131,3.134
10/12/1998,3.133,3.1435,3.132,3.1435,3.141,3.145
11/12/1998,3.145,3.145,3.1435,3.1435,3.143,3.144
14/12/1998,3.144,3.144,3.134,3.1365,3.135,3.138
15/12/1998,3.136,3.1365,3.127,3.1295,3.128,3.131
16/12/1998,3.131,3.131,3.125,3.129,3.128,3.13
17/12/1998,3.13,3.131,3.126,3.128,3.127,3.129
18/12/1998,3.127,3.127,3.1225,3.123,3.121,3.125
21/12/1998,3.1225,3.133,3.1225,3.1305,3.129,3.132
22/12/1998,3.13,3.1325,3.124,3.1255,3.124,3.127
23/12/1998,3.127,3.128,3.122,3.128,3.127,3.129
24/12/1998,3.128,3.1305,3.126,3.126,3.125,3.127
28/12/1998,3.13,3.142,3.13,3.141,3.14,3.142
29/12/1998,3.142,3.1525,3.142,3.1525,3.152,3.154
30/12/1998,3.154,3.157,3.153,3.157,3.155,3.158
31/12/1998,3.158,3.158,3.1555,3.1565,3.155,3.158
4/01/1999,3.158,3.165,3.155,3.164,3.162,3.166
5/01/1999,3.166,3.1755,3.165,3.1755,3.174,3.177
6/01/1999,3.175,3.183,3.167,3.182,3.181,3.183
7/01/1999,3.182,3.189,3.182,3.189,3.187,3.191
8/01/1999,3.191,3.194,3.19,3.1915,3.19,3.193
11/01/1999,3.193,3.197,3.192,3.1965,3.195,3.198
12/01/1999,3.198,3.204,3.1975,3.201,3.2,3.202
13/01/1999,3.21,3.29,3.21,3.265,3.259,3.271
14/01/1999,3.25,3.3055,3.25,3.3055,3.301,3.31
15/01/1999,3.305,3.305,3.27,3.27,3.265,3.275
18/01/1999,3.265,3.2725,3.2315,3.2345,3.231,3.238
19/01/1999,3.235,3.26,3.2325,3.25,3.248,3.252
20/01/1999,3.26,3.26,3.24,3.2475,3.246,3.249
21/01/1999,3.2525,3.277,3.2525,3.271,3.268,3.272
22/01/1999,3.271,3.2835,3.27,3.2835,3.282,3.285
25/01/1999,3.282,3.315,3.2795,3.3035,3.302,3.305
26/01/1999,3.315,3.3325,3.3125,3.323,3.321,3.325
27/01/1999,3.325,3.3325,3.324,3.3325,3.331,3.334
28/01/1999,3.332,3.35,3.3265,3.338,3.336,3.34
29/01/1999,3.34,3.365,3.3355,3.351,3.336,3.34
1/02/1999,3.36,3.3805,3.36,3.3775,3.375,3.38
2/02/1999,3.383,3.384,3.37,3.3835,3.382,3.385
3/02/1999,3.386,3.403,3.3685,3.3985,3.397,3.4
4/02/1999,3.34,3.3995,3.34,3.387,3.385,3.389
5/02/1999,3.386,3.39,3.384,3.39,3.388,3.392
8/02/1999,3.392,3.392,3.387,3.387,3.386,3.388
9/02/1999,3.389,3.392,3.3825,3.3825,3.381,3.384
10/02/1999,3.3795,3.3825,3.375,3.382,3.38,3.384
11/02/1999,3.384,3.397,3.3815,3.3965,3.395,3.398
12/02/1999,3.396,3.396,3.394,3.394,3.392,3.396
15/02/1999,3.398,3.398,3.3855,3.3855,3.384,3.387
16/02/1999,3.382,3.3835,3.378,3.3825,3.381,3.384
17/02/1999,3.384,3.386,3.3795,3.3845,3.383,3.386
18/02/1999,3.386,3.39,3.381,3.3895,3.388,3.391
19/02/1999,3.39,3.396,3.3895,3.396,3.395,3.397
22/02/1999,3.402,3.41,3.402,3.41,3.409,3.411
23/02/1999,3.41,3.4255,3.41,3.422,3.421,3.423
24/02/1999,3.421,3.424,3.421,3.423,3.422,3.424
25/02/1999,3.423,3.475,3.411,3.475,3.472,3.48
26/02/1999,3.475,3.485,3.41,3.41,3.4,3.42
1/03/1999,3.42,3.42,3.3795,3.388,3.386,3.39
2/03/1999,3.388,3.4,3.388,3.393,3.392,3.394
3/03/1999,3.3955,3.3985,3.3935,3.3935,3.392,3.395
4/03/1999,3.3935,3.406,3.3935,3.406,3.404,3.407
5/03/1999,3.4055,3.4135,3.399,3.399,3.398,3.4
8/03/1999,3.4055,3.4155,3.4055,3.4065,3.404,3.408
9/03/1999,3.408,3.408,3.402,3.402,3.4,3.404
10/03/1999,3.402,3.402,3.396,3.396,3.395,3.397
11/03/1999,3.401,3.401,3.381,3.3855,3.384,3.387
12/03/1999,3.376,3.376,3.3525,3.357,3.354,3.36
15/03/1999,3.355,3.3595,3.325,3.325,3.326,3.33
16/03/1999,3.329,3.3615,3.329,3.359,3.357,3.361
17/03/1999,3.371,3.381,3.362,3.362,3.36,3.364
18/03/1999,3.363,3.42,3.363,3.42,3.4,3.44
19/03/1999,3.342,3.356,3.3405,3.356,3.354,3.358
22/03/1999,3.356,3.3765,3.356,3.3765,3.375,3.378
23/03/1999,3.375,3.3925,3.375,3.3885,3.387,3.39
24/03/1999,3.388,3.3965,3.388,3.3905,3.389,3.392
25/03/1999,3.387,3.387,3.3745,3.3825,3.381,3.384
26/03/1999,3.376,3.3825,3.3705,3.372,3.371,3.373
29/03/1999,3.372,3.373,3.352,3.352,3.35,3.354
30/03/1999,3.354,3.3625,3.3355,3.337,3.335,3.339
31/03/1999,3.339,3.339,3.3235,3.333,3.331,3.335
1/04/1999,3.333,3.333,3.333,3.333,3.331,3.335
5/04/1999,3.334,3.348,3.334,3.344,3.343,3.345
6/04/1999,3.342,3.3575,3.342,3.3575,3.341,3.343
7/04/1999,3.355,3.372,3.355,3.369,3.353,3.355
8/04/1999,3.372,3.372,3.3615,3.3615,3.37,3.372
9/04/1999,3.357,3.364,3.354,3.3575,3.355,3.359
12/04/1999,3.359,3.365,3.359,3.3635,3.357,3.359
13/04/1999,3.362,3.364,3.348,3.3485,3.36,3.364
14/04/1999,3.359,3.359,3.339,3.344,3.342,3.346
15/04/1999,3.346,3.347,3.344,3.346,3.345,3.347
16/04/1999,3.346,3.3475,3.343,3.344,3.343,3.345
19/04/1999,3.349,3.349,3.335,3.337,3.335,3.339
20/04/1999,3.34,3.34,3.3365,3.34,3.339,3.341
21/04/1999,3.343,3.346,3.3415,3.345,3.344,3.346
22/04/1999,3.348,3.348,3.342,3.3425,3.341,3.343
23/04/1999,3.34,3.3465,3.34,3.346,3.345,3.347
26/04/1999,3.348,3.352,3.346,3.3465,3.345,3.348
27/04/1999,3.351,3.351,3.3355,3.337,3.336,3.338
28/04/1999,3.337,3.337,3.332,3.336,3.334,3.338
29/04/1999,3.336,3.343,3.336,3.338,3.337,3.339
30/04/1999,3.338,3.339,3.335,3.338,3.337,3.339
3/05/1999,3.338,3.339,3.3285,3.33,3.329,3.331
4/05/1999,3.333,3.333,3.323,3.326,3.325,3.327
5/05/1999,3.33,3.332,3.3275,3.331,3.33,3.332
6/05/1999,3.331,3.336,3.331,3.3355,3.335,3.336
7/05/1999,3.3403,3.341,3.3385,3.34,3.338,3.342
10/05/1999,3.342,3.342,3.33,3.33,3.329,3.331
11/05/1999,3.3295,3.3295,3.3195,3.324,3.323,3.325
12/05/1999,3.324,3.329,3.3235,3.324,3.323,3.326
13/05/1999,3.326,3.326,3.3185,3.32,3.319,3.321
14/05/1999,3.322,3.3285,3.321,3.3285,3.327,3.33
17/05/1999,3.33,3.3335,3.324,3.324,3.324,3.325
18/05/1999,3.325,3.325,3.32,3.32,3.318,3.322
19/05/1999,3.319,3.325,3.319,3.323,3.322,3.324
20/05/1999,3.3195,3.326,3.3195,3.326,3.324,3.328
21/05/1999,3.327,3.337,3.3135,3.337,3.336,3.338
24/05/1999,3.3395,3.341,3.333,3.341,3.34,3.342
25/05/1999,3.35,3.357,3.349,3.352,3.35,3.354
26/05/1999,3.354,3.354,3.3325,3.3325,3.331,3.334
27/05/1999,3.334,3.337,3.33,3.332,3.331,3.334
28/05/1999,3.333,3.333,3.325,3.325,3.324,3.326
31/05/1999,3.328,3.338,3.328,3.3315,3.33,3.333
1/06/1999,3.33,3.3345,3.33,3.3315,3.33,3.333
2/06/1999,3.333,3.338,3.333,3.3365,3.335,3.337
3/06/1999,3.3358,3.3358,3.3315,3.3335,3.332,3.335
4/06/1999,3.3365,3.339,3.336,3.336,3.335,3.337
7/06/1999,3.336,3.339,3.3355,3.339,3.338,3.34
8/06/1999,3.341,3.346,3.34,3.345,3.344,3.346
9/06/1999,3.347,3.348,3.3455,3.347,3.345,3.349
10/06/1999,3.346,3.353,3.346,3.353,3.352,3.354
11/06/1999,3.3505,3.3505,3.346,3.347,3.346,3.348
14/06/1999,3.35,3.35,3.338,3.338,3.337,3.339
15/06/1999,3.343,3.343,3.329,3.337,3.336,3.338
16/06/1999,3.336,3.336,3.333,3.333,3.332,3.334
17/06/1999,3.3415,3.3415,3.33,3.34,3.33,3.35
18/06/1999,3.33,3.3415,3.33,3.33,3.325,3.335
21/06/1999,3.334,3.338,3.334,3.3355,3.335,3.336
22/06/1999,3.339,3.339,3.3335,3.334,3.334,3.335
23/06/1999,3.337,3.3395,3.337,3.338,3.337,3.339
24/06/1999,3.343,3.343,3.3415,3.3415,3.341,3.342
25/06/1999,3.3395,3.3395,3.3375,3.3385,3.337,3.34
28/06/1999,3.339,3.339,3.3355,3.3355,3.335,3.336
29/06/1999,3.335,3.335,3.335,3.335,3.334,3.336
30/06/1999,3.336,3.336,3.3315,3.332,3.331,3.333
1/07/1999,3.33,3.331,3.3275,3.3275,3.327,3.328
2/07/1999,3.3275,3.3275,3.3235,3.3235,3.323,3.324
5/07/1999,3.324,3.326,3.32,3.32,3.319,3.321
6/07/1999,3.337,3.337,3.32,3.322,3.32,3.324
7/07/1999,3.3215,3.3235,3.3205,3.321,3.32,3.322
8/07/1999,3.35,3.35,3.3175,3.318,3.317,3.319
9/07/1999,3.318,3.3245,3.318,3.3195,3.318,3.321
12/07/1999,3.3199,3.326,3.3199,3.3255,3.323,3.328
13/07/1999,3.326,3.3315,3.326,3.328,3.327,3.329
14/07/1999,3.324,3.326,3.3175,3.3175,3.314,3.318
15/07/1999,3.315,3.3165,3.3105,3.3115,3.311,3.313
16/07/1999,3.324,3.324,3.31,3.312,3.311,3.313
19/07/1999,3.3125,3.3125,3.317,3.3095,3.308,3.311
